Education,Marital_Status,HasChildren,AgeGroup,Income,Recency,Complain,Days_Since_Enrolled,Years_Since_Enrolled,NumDealsPurchases,NumWebVisitsMonth,NumTotalPurchases,MntRegularProds,MntGoldProds,MntTotal,AcceptedCmpTotal,HasAcceptedCmp,Response
Graduation,Single,1,31-45,54162.0,31,0,468,1,1,4,4,32,10,42,0,0,0
Master,Partner,1,46-60,30522.0,6,0,681,1,5,2,12,300,26,326,0,0,0
PhD,Partner,1,46-60,54456.0,23,0,353,0,3,6,14,389,15,404,0,0,0
Graduation,Single,0,31-45,31632.0,92,0,350,0,1,7,5,63,32,95,0,0,0
Graduation,Single,0,61+,72298.0,52,0,111,0,1,1,13,904,35,939,2,1,0
2n Cycle,Single,1,31-45,36975.0,50,0,183,0,1,7,4,31,2,33,0,0,0
2n Cycle,Partner,0,46-60,72635.0,54,0,391,1,1,3,20,874,107,981,1,1,0
Graduation,Partner,1,31-45,13624.0,93,0,525,1,2,6,5,30,6,36,0,0,0
Graduation,Single,1,31-45,84196.0,56,0,391,1,1,3,19,1047,190,1237,0,0,0
Graduation,Partner,1,46-60,70971.0,28,0,646,1,7,7,27,1808,17,1825,0,0,1
PhD,Single,1,31-45,34487.0,94,0,661,1,3,9,6,95,8,103,0,0,0
Graduation,Single,1,31-45,28769.0,76,0,558,1,3,9,9,188,3,191,0,0,0
PhD,Partner,1,31-45,69084.0,43,0,222,0,2,8,23,1556,30,1586,0,0,0
PhD,Partner,0,46-60,65488.0,46,0,16,0,1,1,13,909,54,963,0,0,0
2n Cycle,Partner,1,31-45,62466.0,13,0,165,0,5,4,21,806,83,889,0,0,0
2n Cycle,Single,0,46-60,32218.0,27,0,134,0,1,7,6,63,30,93,1,1,1
Graduation,Single,0,31-45,83917.0,12,0,437,1,1,3,20,1508,79,1587,0,0,1
Graduation,Single,1,46-60,46102.0,3,0,111,0,1,7,3,15,1,16,0,0,0
Graduation,Single,0,61+,84574.0,72,0,390,1,1,5,31,1212,163,1375,0,0,0
Graduation,Partner,1,46-60,56181.0,6,0,537,1,1,4,13,345,48,393,0,0,0
Master,Single,1,61+,63120.0,53,0,639,1,5,7,21,1408,69,1477,0,0,1
Graduation,Partner,1,31-45,73691.0,58,0,235,0,2,2,16,1106,73,1179,1,1,0
Graduation,Partner,1,46-60,63381.0,78,0,632,1,4,2,22,846,159,1005,0,0,0
PhD,Partner,0,61+,76140.0,57,0,47,0,1,2,20,1322,26,1348,0,0,0
PhD,Single,1,46-60,62859.0,37,0,546,1,4,6,19,1282,25,1307,0,0,0
Graduation,Single,1,46-60,45906.0,20,0,418,1,2,5,13,342,144,486,1,1,0
Master,Partner,0,61+,77632.0,73,0,476,1,1,2,12,2105,147,2252,2,1,1
PhD,Partner,1,31-45,46463.0,56,0,315,0,7,6,10,224,11,235,0,0,0
Graduation,Partner,0,31-45,105471.0,36,0,524,1,0,3,30,1517,207,1724,2,1,1
Master,Single,1,31-45,55282.0,9,0,198,0,1,4,10,216,19,235,0,0,0
Master,Partner,1,31-45,78710.0,42,0,37,0,3,4,25,1042,50,1092,0,0,0
Graduation,Partner,1,46-60,66886.0,28,0,286,0,2,5,15,453,146,599,0,0,0
Master,Single,0,46-60,98777.0,23,0,132,0,0,1,19,1970,38,2008,1,1,0
Graduation,Partner,1,18-30,29103.0,38,0,671,1,2,9,4,42,6,48,0,0,0
Graduation,Partner,1,31-45,67445.0,63,0,686,1,5,6,27,1163,11,1174,0,0,0
PhD,Partner,1,61+,50616.0,71,0,77,0,1,2,6,58,9,67,0,0,0
Graduation,Single,1,46-60,49431.0,9,0,695,1,2,8,13,348,17,365,0,0,0
Graduation,Single,0,31-45,153924.0,81,0,142,0,0,0,0,5,1,6,0,0,0
Graduation,Partner,1,61+,61278.0,87,0,176,0,2,6,8,150,15,165,0,0,0
2n Cycle,Partner,0,46-60,26490.0,92,0,645,1,2,6,9,185,25,210,0,0,0
PhD,Partner,1,61+,73059.0,36,0,302,0,1,4,25,1024,71,1095,0,0,0
PhD,Single,1,46-60,46734.0,86,0,251,0,4,6,8,147,76,223,1,1,0
Graduation,Partner,1,46-60,56253.0,83,0,569,1,4,6,18,592,5,597,0,0,0
Graduation,Partner,1,18-30,19986.0,74,0,227,0,1,7,3,16,6,22,0,0,0
Graduation,Single,1,31-45,58330.0,87,0,186,0,1,4,23,913,151,1064,0,0,0
Basic,Partner,0,31-45,25965.0,29,0,660,1,1,8,5,63,11,74,0,0,0
Master,Partner,0,46-60,14661.0,88,0,544,1,1,6,4,24,2,26,0,0,0
Graduation,Partner,0,46-60,18690.0,77,0,548,1,1,8,4,41,19,60,0,0,0
PhD,Partner,1,31-45,45068.0,25,0,409,1,1,7,3,17,3,20,0,0,0
Basic,Single,1,18-30,21063.0,34,0,277,0,2,6,5,44,15,59,0,0,0
PhD,Partner,1,46-60,29187.0,43,0,416,1,1,8,4,32,2,34,0,0,0
2n Cycle,Partner,1,31-45,54690.0,76,0,234,0,3,3,9,180,18,198,0,0,0
PhD,Partner,1,46-60,59304.0,81,0,335,0,3,5,25,1038,10,1048,0,0,0
Master,Single,1,46-60,59247.0,87,0,233,0,5,6,16,491,83,574,0,0,0
Graduation,Single,1,31-45,66731.0,33,0,655,1,4,3,13,888,141,1029,0,0,0
Graduation,Partner,1,31-45,77353.0,38,0,195,0,2,4,18,611,59,670,0,0,0
PhD,Single,1,31-45,52614.0,63,0,575,1,2,8,14,952,38,990,0,0,0
Graduation,Partner,1,31-45,26751.0,26,0,38,0,1,8,3,10,1,11,0,0,0
PhD,Partner,1,46-60,81300.0,17,0,607,1,3,5,18,1205,36,1241,1,1,1
Graduation,Single,0,31-45,70337.0,75,0,178,0,1,1,16,485,91,576,0,0,0
2n Cycle,Partner,1,18-30,36145.0,13,0,378,1,4,9,8,154,18,172,1,1,1
PhD,Single,0,31-45,65295.0,19,0,188,0,1,2,19,658,6,664,0,0,0
Graduation,Single,1,46-60,68118.0,51,0,254,0,2,6,21,774,154,928,0,0,0
Graduation,Single,0,46-60,68743.0,81,0,668,1,1,7,29,1959,115,2074,0,0,0
2n Cycle,Partner,0,31-45,41039.0,32,0,339,0,1,8,14,422,45,467,0,0,0
Graduation,Partner,1,46-60,38946.0,84,0,248,0,2,5,10,216,41,257,0,0,0
Graduation,Partner,0,46-60,65777.0,87,0,192,0,1,1,16,1092,54,1146,0,0,0
PhD,Single,1,31-45,66476.0,99,0,479,1,2,4,18,611,78,689,0,0,0
PhD,Single,0,31-45,86857.0,96,0,655,1,1,2,21,2074,40,2114,0,0,1
PhD,Partner,0,31-45,160803.0,21,0,694,1,15,0,29,1713,4,1717,0,0,0
PhD,Partner,0,18-30,77845.0,40,0,44,0,1,1,20,1320,26,1346,2,1,0
PhD,Partner,0,31-45,69476.0,3,0,272,0,1,2,14,977,67,1044,0,0,0
PhD,Single,1,46-60,50611.0,98,0,633,1,6,6,16,489,4,493,1,1,1
Graduation,Single,0,31-45,61209.0,73,0,308,0,1,2,12,858,99,957,0,0,0
Master,Partner,1,46-60,42315.0,90,0,352,0,3,3,9,190,80,270,0,0,0
Basic,Partner,0,61+,13084.0,29,0,239,0,1,6,4,19,10,29,0,0,0
Master,Single,1,61+,47570.0,3,0,396,1,3,7,6,90,31,121,0,0,1
Master,Partner,1,46-60,61923.0,94,0,338,0,1,3,7,120,6,126,0,0,0
Graduation,Single,0,18-30,34824.0,65,0,95,0,1,6,3,19,4,23,0,0,0
PhD,Single,1,61+,26518.0,33,0,447,1,3,8,5,55,2,57,0,0,1
Graduation,Single,0,46-60,45938.0,46,0,238,0,2,6,18,607,29,636,0,0,0
Graduation,Partner,0,46-60,78468.0,29,0,81,0,1,4,27,970,34,1004,1,1,0
Graduation,Single,1,31-45,78901.0,99,0,285,0,3,4,17,700,34,734,0,0,0
Graduation,Partner,1,31-45,71427.0,26,0,109,0,2,4,18,591,23,614,0,0,0
Graduation,Single,1,31-45,71022.0,30,0,138,0,3,8,18,1211,242,1453,1,1,0
Master,Single,0,18-30,90247.0,27,0,61,0,1,1,14,1605,16,1621,3,1,1
Master,Single,1,46-60,41335.0,24,0,185,0,3,7,9,182,5,187,0,0,0
Graduation,Partner,1,18-30,71952.0,93,0,535,1,2,4,20,1350,93,1443,2,1,0
PhD,Single,1,31-45,35682.0,34,0,2,0,1,2,5,39,18,57,0,0,0
Graduation,Single,1,61+,43185.0,88,0,445,1,2,8,18,607,30,637,0,0,0
PhD,Partner,1,61+,66375.0,96,0,220,0,3,7,11,757,191,948,1,1,0
Master,Partner,1,31-45,35178.0,10,0,535,1,1,7,4,41,18,59,1,1,1
Graduation,Partner,1,18-30,25252.0,26,0,352,0,1,8,3,12,6,18,0,0,0
Master,Single,1,46-60,55250.0,49,0,616,1,4,5,22,837,66,903,0,0,0
Graduation,Single,1,31-45,33249.0,11,0,494,1,2,6,6,70,42,112,0,0,0
Graduation,Partner,0,61+,58398.0,44,0,411,1,3,4,17,547,49,596,0,0,0
Graduation,Partner,1,31-45,50272.0,75,0,326,0,3,7,10,229,4,233,0,0,0
PhD,Partner,0,31-45,76618.0,64,0,569,1,1,1,10,1364,147,1511,0,0,0
2n Cycle,Single,0,46-60,87305.0,19,0,644,1,1,2,16,1072,80,1152,1,1,1
Graduation,Partner,1,31-45,25851.0,45,0,503,1,2,7,5,43,5,48,0,0,0
Graduation,Single,1,31-45,58710.0,77,0,455,1,6,6,25,1011,174,1185,0,0,0
Graduation,Single,1,46-60,45160.0,9,0,92,0,1,7,3,18,3,21,0,0,0
Master,Partner,1,46-60,74806.0,1,0,557,1,2,4,14,956,9,965,0,0,0
Graduation,Partner,0,46-60,59111.0,90,0,423,1,1,7,20,714,155,869,0,0,0
PhD,Partner,1,18-30,18988.0,43,0,37,0,2,7,4,15,1,16,0,0,0
Graduation,Partner,0,46-60,72190.0,79,0,501,1,1,3,15,1698,249,1947,0,0,0
Graduation,Partner,1,31-45,7500.0,19,0,697,1,5,9,7,39,32,71,1,1,1
Graduation,Partner,1,46-60,44794.0,99,0,21,0,1,6,5,61,4,65,0,0,0
Graduation,Partner,0,46-60,80395.0,62,0,218,0,1,2,23,1332,48,1380,1,1,0
Master,Single,0,31-45,75012.0,41,0,155,0,1,1,22,876,151,1027,0,0,0
Master,Partner,1,46-60,56962.0,60,0,261,0,7,7,14,385,26,411,0,0,0
Graduation,Partner,0,18-30,89891.0,17,0,440,1,1,4,25,653,183,836,1,1,0
PhD,Single,1,61+,35946.0,24,0,275,0,1,5,3,11,0,11,0,0,0
PhD,Partner,1,61+,53593.0,60,0,691,1,8,8,15,437,43,480,0,0,0
Graduation,Partner,1,31-45,66373.0,57,0,382,1,7,3,16,497,109,606,0,0,0
PhD,Single,1,61+,45072.0,74,0,256,0,5,8,11,254,30,284,0,0,0
Graduation,Single,1,31-45,89694.0,22,0,263,0,3,5,11,1430,42,1472,3,1,0
Graduation,Partner,0,61+,72025.0,46,0,61,0,1,2,25,1677,0,1677,3,1,1
Graduation,Partner,1,31-45,67432.0,69,0,457,1,2,4,17,1165,170,1335,0,0,0
Master,Partner,1,61+,70545.0,29,0,26,0,1,2,12,313,21,334,0,0,0
Basic,Partner,1,18-30,17487.0,37,0,468,1,1,7,3,12,6,18,0,0,0
Graduation,Partner,1,31-45,62882.0,26,0,689,1,2,4,18,1241,97,1338,0,0,0
PhD,Single,1,61+,64108.0,8,0,463,1,4,5,26,1078,21,1099,0,0,0
Master,Partner,1,46-60,34941.0,26,0,480,1,2,8,6,73,24,97,0,0,0
PhD,Single,1,61+,48767.0,79,0,179,0,3,5,6,53,10,63,0,0,0
2n Cycle,Partner,1,31-45,38702.0,71,0,332,0,2,6,7,69,40,109,0,0,0
Graduation,Partner,0,46-60,82224.0,83,0,155,0,1,3,20,862,40,902,1,1,0
Graduation,Partner,0,61+,83844.0,57,0,413,1,1,1,19,1383,191,1574,1,1,0
2n Cycle,Partner,1,31-45,17003.0,37,0,202,0,3,5,6,31,7,38,0,0,0
Graduation,Single,0,18-30,71163.0,30,0,112,0,1,1,23,916,44,960,0,0,0
Graduation,Single,1,31-45,33697.0,34,0,287,0,1,7,3,17,11,28,1,1,0
2n Cycle,Partner,0,46-60,63564.0,0,0,151,0,1,6,27,1150,65,1215,1,1,1
PhD,Partner,0,31-45,83443.0,89,0,180,0,1,2,21,1413,84,1497,0,0,0
PhD,Partner,1,46-60,51518.0,92,0,269,0,2,3,15,445,4,449,0,0,0
Graduation,Single,1,31-45,58330.0,87,0,186,0,1,4,23,913,151,1064,0,0,0
Graduation,Partner,0,31-45,80952.0,20,0,486,1,1,8,24,1713,44,1757,3,1,1
Graduation,Partner,0,31-45,75507.0,56,0,58,0,1,3,20,1360,80,1440,0,0,0
2n Cycle,Partner,0,31-45,63855.0,28,0,505,1,1,4,23,917,89,1006,0,0,0
PhD,Partner,1,31-45,62220.0,55,0,687,1,5,6,18,1214,12,1226,0,0,1
Graduation,Partner,1,46-60,58512.0,25,0,283,0,5,8,15,1019,152,1171,0,0,0
Master,Partner,1,31-45,40662.0,0,0,471,1,2,4,6,69,23,92,0,0,0
PhD,Partner,1,46-60,38829.0,86,0,84,0,1,5,7,83,16,99,0,0,0
2n Cycle,Partner,1,31-45,35523.0,8,0,269,0,2,7,6,55,11,66,0,0,0
Graduation,Single,1,46-60,79146.0,33,0,66,0,2,6,17,548,16,564,0,0,0
Master,Partner,0,18-30,78285.0,13,0,244,0,1,3,20,1387,40,1427,0,0,0
PhD,Single,1,31-45,31626.0,12,0,415,1,1,7,5,52,34,86,1,1,1
Graduation,Single,0,61+,75127.0,92,0,38,0,1,1,18,606,227,833,0,0,0
Graduation,Partner,1,46-60,48726.0,90,0,428,1,3,6,9,183,59,242,0,0,0
Graduation,Partner,0,31-45,74985.0,8,0,656,1,1,2,16,1783,86,1869,0,0,0
Graduation,Partner,0,18-30,67430.0,6,0,662,1,1,6,28,1243,121,1364,0,0,0
2n Cycle,Partner,1,46-60,46891.0,91,0,301,0,1,4,7,122,61,183,0,0,0
Master,Partner,1,46-60,62058.0,52,0,399,1,4,6,14,392,58,450,0,0,0
Graduation,Partner,1,31-45,72063.0,3,0,361,0,2,2,19,668,90,758,0,0,0
PhD,Partner,0,61+,78939.0,57,0,199,0,1,3,19,1302,205,1507,0,0,0
Graduation,Single,1,46-60,42720.0,9,0,431,1,8,8,17,542,112,654,0,0,1
Graduation,Partner,1,31-45,33622.0,22,0,442,1,3,7,6,69,12,81,0,0,0
PhD,Partner,1,46-60,6835.0,76,0,568,1,0,20,1,125,12,137,0,0,0
Graduation,Partner,1,61+,41452.0,86,0,480,1,1,7,3,16,0,16,0,0,0
PhD,Single,1,46-60,40760.0,64,0,303,0,2,6,6,87,6,93,0,0,0
PhD,Partner,0,46-60,74250.0,90,0,154,0,1,1,17,1158,0,1158,0,0,0
Master,Single,1,46-60,51124.0,79,0,193,0,2,3,4,39,4,43,0,0,0
Graduation,Single,1,31-45,72258.0,28,0,290,0,2,2,20,1391,134,1525,0,0,0
PhD,Single,0,31-45,71466.0,86,0,85,0,1,1,18,1230,0,1230,0,0,0
Graduation,Partner,1,31-45,36283.0,42,0,76,0,2,4,4,24,5,29,0,0,0
Graduation,Single,1,31-45,20587.0,39,0,49,0,1,7,4,16,9,25,0,0,0
Graduation,Partner,1,31-45,30467.0,8,0,102,0,1,7,3,19,5,24,0,0,0
Graduation,Partner,1,31-45,31590.0,40,0,376,1,1,8,4,35,3,38,0,0,0
Basic,Partner,1,18-30,20425.0,5,0,608,1,2,7,5,40,17,57,0,0,0
Master,Partner,1,46-60,17144.0,96,0,134,0,5,7,7,41,6,47,0,0,0
PhD,Single,1,46-60,42564.0,28,0,543,1,6,7,18,615,198,813,1,1,1
Master,Partner,1,31-45,43783.0,22,0,31,0,6,7,16,490,139,629,1,1,0
Graduation,Single,1,31-45,40780.0,30,0,659,1,4,9,13,343,34,377,0,0,0
Master,Partner,0,61+,62847.0,45,0,530,1,1,2,13,1551,61,1612,0,0,0
PhD,Partner,0,46-60,82017.0,58,0,599,1,1,2,16,706,23,729,3,1,1
Graduation,Single,0,61+,16813.0,49,0,345,0,1,7,5,37,13,50,1,1,0
Graduation,Partner,1,31-45,51267.0,37,0,243,0,4,4,11,258,12,270,0,0,0
Graduation,Single,1,46-60,46524.0,70,0,450,1,2,3,7,125,52,177,0,0,0
Master,Single,0,46-60,45183.0,33,0,525,1,1,7,12,303,12,315,1,1,0
PhD,Partner,1,46-60,70421.0,98,0,1,0,3,6,20,732,35,767,0,0,0
2n Cycle,Single,1,46-60,60161.0,17,0,614,1,3,8,23,894,177,1071,0,0,0
Graduation,Partner,0,31-45,73926.0,54,0,484,1,1,3,23,1565,15,1580,0,0,0
Graduation,Partner,1,46-60,19329.0,39,0,197,0,3,8,7,55,5,60,0,0,0
Master,Partner,1,31-45,61872.0,81,0,198,0,4,4,17,557,16,573,0,0,0
Graduation,Single,1,46-60,46984.0,71,0,460,1,1,5,4,33,8,41,0,0,0
Graduation,Partner,1,61+,34838.0,62,0,526,1,3,6,7,123,47,170,0,0,0
PhD,Single,0,61+,82716.0,8,0,236,0,1,2,27,1145,22,1167,0,0,0
Graduation,Partner,0,46-60,48192.0,76,0,449,1,3,8,22,1497,29,1526,3,1,1
Master,Partner,1,31-45,49681.0,66,0,237,0,6,7,15,437,21,458,0,0,0
Master,Partner,1,31-45,56850.0,83,0,98,0,1,2,5,63,0,63,0,0,0
Graduation,Partner,1,46-60,55267.0,28,0,251,0,4,3,13,360,45,405,0,0,0
Graduation,Partner,1,31-45,59666.0,87,0,464,1,7,8,13,894,133,1027,1,1,0
Graduation,Single,1,31-45,72504.0,43,0,449,1,2,2,20,1384,94,1478,0,0,0
Graduation,Partner,0,31-45,26872.0,0,0,256,0,1,6,4,40,32,72,0,0,0
Graduation,Single,1,31-45,21359.0,1,0,435,1,2,8,5,38,10,48,0,0,1
Graduation,Single,0,31-45,73170.0,1,0,29,0,1,2,15,694,32,726,0,0,0
Master,Partner,1,46-60,52750.0,72,0,510,1,6,4,21,791,69,860,0,0,0
PhD,Partner,0,18-30,91820.0,72,0,218,0,0,1,22,1467,30,1497,0,0,0
PhD,Partner,1,31-45,65968.0,12,0,48,0,2,3,16,491,4,495,0,0,0
Graduation,Partner,1,31-45,30772.0,89,0,109,0,1,6,3,16,4,20,0,0,0
Graduation,Single,0,46-60,22507.0,67,0,582,1,3,9,16,502,68,570,0,0,0
Graduation,Partner,1,31-45,65685.0,54,0,92,0,1,5,20,712,57,769,0,0,0
2n Cycle,Partner,1,31-45,25804.0,34,0,301,0,2,8,5,43,12,55,0,0,0
PhD,Single,0,31-45,76412.0,15,0,420,1,1,3,17,1791,17,1808,2,1,1
Graduation,Partner,1,31-45,22063.0,43,0,325,0,2,7,5,44,11,55,0,0,0
Graduation,Single,0,46-60,57091.0,0,0,14,0,1,5,17,540,37,577,1,1,1
Graduation,Partner,0,46-60,22419.0,74,0,437,1,1,8,7,120,42,162,0,0,0
Graduation,Partner,1,46-60,87771.0,61,0,403,1,1,6,19,1924,33,1957,4,1,1
2n Cycle,Single,1,46-60,78353.0,51,0,439,1,1,8,23,1542,34,1576,0,0,0
Graduation,Partner,1,46-60,93404.0,97,0,418,1,3,5,14,1601,15,1616,2,1,0
Graduation,Single,1,46-60,37859.0,75,0,533,1,2,8,4,34,2,36,0,0,0
PhD,Single,1,46-60,80995.0,83,0,414,1,1,4,21,1426,56,1482,0,0,0
Graduation,Partner,1,18-30,16529.0,23,0,120,0,1,6,4,21,1,22,0,0,0
PhD,Single,1,31-45,55412.0,65,0,219,0,1,5,5,55,8,63,0,0,0
Graduation,Single,0,18-30,48789.0,94,0,657,1,1,6,17,535,145,680,0,0,0
PhD,Partner,1,46-60,56575.0,42,0,420,1,3,5,17,532,10,542,0,0,0
2n Cycle,Partner,1,31-45,25130.0,10,0,270,0,2,7,5,32,18,50,0,0,0
Graduation,Partner,1,46-60,35441.0,94,0,500,1,2,8,4,38,1,39,0,0,0
Graduation,Partner,1,46-60,71391.0,50,0,457,1,5,3,23,902,141,1043,0,0,0
Master,Single,1,31-45,49494.0,46,0,430,1,2,7,12,303,82,385,0,0,0
Graduation,Single,0,31-45,81702.0,98,0,644,1,1,3,26,1446,187,1633,0,0,0
2n Cycle,Single,1,31-45,45889.0,42,0,362,0,1,6,4,38,8,46,0,0,0
Graduation,Single,1,31-45,56628.0,30,0,100,0,2,5,18,590,171,761,1,1,0
Graduation,Partner,1,61+,34026.0,11,0,328,0,3,5,6,59,17,76,0,0,0
Graduation,Partner,1,31-45,40049.0,61,0,577,1,3,5,11,262,28,290,0,0,0
Graduation,Single,1,18-30,34176.0,12,0,48,0,4,6,7,69,20,89,0,0,0
Graduation,Partner,1,31-45,19419.0,76,0,596,1,4,9,7,63,7,70,0,0,0
2n Cycle,Partner,0,46-60,82504.0,2,0,337,0,1,1,16,1012,54,1066,0,0,0
Graduation,Partner,0,31-45,81205.0,43,0,167,0,1,2,18,1879,130,2009,3,1,1
2n Cycle,Single,0,18-30,61618.0,27,0,638,1,2,3,17,1140,205,1345,0,0,0
Master,Single,1,46-60,55284.0,60,0,552,1,3,5,20,701,63,764,0,0,0
Graduation,Single,1,46-60,49980.0,79,0,249,0,2,5,9,181,14,195,0,0,0
Graduation,Partner,1,31-45,15072.0,96,0,415,1,4,5,7,35,18,53,0,0,0
Graduation,Single,1,31-45,49166.0,17,0,381,1,2,6,11,258,110,368,0,0,0
PhD,Partner,1,46-60,65324.0,0,0,169,0,3,4,17,539,5,544,0,0,0
2n Cycle,Partner,0,46-60,82347.0,38,0,600,1,1,3,24,1790,63,1853,2,1,0
PhD,Partner,1,46-60,30843.0,43,0,34,0,2,5,4,26,9,35,1,1,0
PhD,Partner,1,31-45,46374.0,1,0,104,0,3,8,15,429,17,446,2,1,1
Graduation,Single,1,31-45,60474.0,25,0,454,1,7,7,24,1010,170,1180,0,0,0
Master,Partner,1,31-45,38576.0,2,0,117,0,1,7,4,41,0,41,0,0,0
Graduation,Partner,1,18-30,55357.0,66,0,495,1,3,5,19,663,64,727,0,0,0
Graduation,Partner,1,46-60,37758.0,49,0,633,1,2,8,4,39,1,40,0,0,0
2n Cycle,Partner,0,18-30,85710.0,5,0,420,1,1,2,25,1029,33,1062,1,1,0
Graduation,Partner,1,31-45,23228.0,71,0,154,0,2,8,5,40,0,40,0,0,0
Master,Partner,1,31-45,44602.0,35,0,134,0,6,8,11,258,34,292,0,0,0
Graduation,Partner,0,18-30,7500.0,94,0,536,1,1,6,3,10,5,15,0,0,0
2n Cycle,Partner,1,18-30,38683.0,80,0,633,1,6,7,11,275,66,341,0,0,0
2n Cycle,Single,1,31-45,49514.0,61,0,194,0,2,7,11,276,93,369,0,0,0
PhD,Partner,1,31-45,57906.0,29,0,383,1,3,4,14,386,15,401,0,0,0
Master,Single,1,46-60,43456.0,0,0,460,1,3,5,14,386,7,393,0,0,0
Master,Single,1,18-30,19485.0,80,0,278,0,1,7,3,10,0,10,0,0,0
Graduation,Partner,1,31-45,53172.0,54,0,419,1,3,3,13,361,125,486,0,0,0
Graduation,Partner,1,31-45,30545.0,71,0,620,1,2,7,5,57,12,69,0,0,0
PhD,Partner,0,31-45,70123.0,27,0,274,0,1,3,16,1727,0,1727,2,1,0
Graduation,Single,1,46-60,62450.0,61,0,174,0,2,3,14,957,38,995,1,1,0
Graduation,Partner,1,31-45,21675.0,55,0,18,0,3,7,7,41,4,45,0,0,0
2n Cycle,Single,1,31-45,42395.0,35,0,86,0,4,7,8,157,25,182,0,0,0
Master,Partner,1,31-45,61346.0,34,0,266,0,1,3,22,847,142,989,0,0,0
Graduation,Partner,0,61+,80812.0,95,0,285,0,1,2,17,1644,33,1677,3,1,0
Master,Single,1,31-45,42835.0,64,0,364,0,7,6,16,497,98,595,0,0,0
Graduation,Partner,1,31-45,39922.0,30,0,500,1,2,8,7,120,36,156,0,0,0
Master,Single,0,46-60,86424.0,12,0,85,0,1,1,27,1158,68,1226,0,0,0
2n Cycle,Partner,1,31-45,17117.0,96,0,528,1,4,9,7,121,7,128,0,0,0
Graduation,Single,1,31-45,24762.0,16,0,139,0,3,8,6,46,40,86,1,1,1
Graduation,Partner,1,31-45,35797.0,16,0,621,1,2,8,5,47,21,68,0,0,0
Graduation,Single,1,31-45,36627.0,78,0,341,0,1,5,3,15,1,16,0,0,0
2n Cycle,Partner,1,31-45,51111.0,83,0,10,0,2,6,5,52,3,55,0,0,0
PhD,Single,0,31-45,86857.0,96,0,655,1,1,2,21,2074,40,2114,0,0,1
PhD,Partner,0,31-45,82072.0,67,0,362,0,1,1,18,1889,129,2018,0,0,0
PhD,Single,1,61+,46231.0,87,0,580,1,4,9,11,251,12,263,0,0,0
Graduation,Partner,1,46-60,42243.0,34,0,200,0,2,7,5,50,5,55,0,0,0
Graduation,Partner,1,46-60,51195.0,46,0,454,1,8,8,16,506,58,564,0,0,0
Master,Single,0,31-45,68092.0,7,0,195,0,2,5,18,1233,48,1281,0,0,0
Graduation,Partner,1,31-45,31814.0,73,0,505,1,2,9,5,63,20,83,1,1,0
Master,Single,1,46-60,51390.0,54,0,659,1,6,5,12,297,56,353,0,0,0
Graduation,Partner,0,31-45,76630.0,93,0,166,0,1,1,24,828,175,1003,0,0,0
Basic,Single,1,18-30,26868.0,52,0,60,0,1,7,3,12,2,14,0,0,0
PhD,Single,0,61+,48948.0,53,0,513,1,2,6,22,860,42,902,1,1,1
PhD,Single,1,31-45,55260.0,81,0,564,1,2,6,23,897,242,1139,0,0,0
Graduation,Partner,1,46-60,64090.0,8,0,326,0,1,5,19,662,135,797,0,0,1
Graduation,Single,1,46-60,78331.0,97,0,157,0,2,4,23,1577,61,1638,0,0,0
PhD,Partner,1,31-45,37087.0,50,0,322,0,3,6,14,398,3,401,0,0,0
Graduation,Single,1,18-30,21846.0,38,0,250,0,4,8,7,58,26,84,0,0,0
Graduation,Partner,0,46-60,81320.0,61,0,508,1,1,2,17,871,57,928,0,0,0
Graduation,Single,1,31-45,54137.0,46,0,317,0,2,6,9,183,20,203,0,0,0
Graduation,Partner,0,46-60,66825.0,73,0,350,0,1,2,15,818,40,858,0,0,0
Graduation,Partner,0,31-45,57100.0,19,0,207,0,1,3,12,313,96,409,0,0,0
Graduation,Partner,1,31-45,58917.0,10,0,462,1,5,5,11,254,28,282,0,0,0
Graduation,Single,0,31-45,85072.0,94,0,81,0,1,0,17,1182,241,1423,0,0,0
Graduation,Single,0,46-60,86429.0,10,0,220,0,0,2,18,1412,37,1449,1,1,1
Graduation,Single,1,31-45,45684.0,37,0,209,0,1,7,3,21,7,28,0,0,0
Graduation,Partner,1,31-45,47889.0,94,0,176,0,1,5,5,63,4,67,0,0,0
PhD,Partner,0,18-30,45921.0,23,0,111,0,1,4,9,187,12,199,0,0,0
PhD,Single,0,46-60,78420.0,75,0,365,1,1,1,21,1425,28,1453,0,0,0
Graduation,Partner,0,18-30,75114.0,40,0,234,0,1,2,18,1229,24,1253,0,0,0
PhD,Single,1,46-60,52278.0,24,0,520,1,6,8,25,1024,174,1198,0,0,1
Master,Partner,1,31-45,35641.0,11,0,350,0,2,7,8,150,28,178,0,0,1
Graduation,Single,0,18-30,95529.0,29,0,573,1,1,3,17,1966,24,1990,1,1,1
Graduation,Partner,0,46-60,62820.0,51,0,414,1,1,1,13,923,53,976,0,0,0
Master,Partner,0,46-60,73113.0,86,0,185,0,1,2,14,973,28,1001,0,0,0
PhD,Partner,0,31-45,84169.0,9,0,326,0,1,3,19,1919,0,1919,2,1,1
2n Cycle,Single,1,46-60,42607.0,30,0,224,0,2,3,12,303,47,350,0,0,0
PhD,Single,0,46-60,74637.0,73,0,407,1,1,3,24,1634,16,1650,1,1,0
PhD,Partner,1,46-60,46015.0,25,0,77,0,1,7,4,40,6,46,2,1,0
